R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,better_rank,finish,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
-300.0,235,33.33333333333333,235.0,0.0022467320261437907,0.2555147058823529,0.12234477124183006,0,False,0.10069444444444445,0.8954248366013072,3,2,0,0,2.95,0.39,0.4,0.22,0.2,2,4,14,0,0,0,1,2,0,0,3,0.7520424836601307,170.18,180.34,135,2,0,1,3.45,0.35,0.4,0.61,0.23,4,3,25,0,0,1,3,3,0,0,7,0.7581699346405228,167.64,165.1,145,32,43,0,0,-2,-4,1,-11,0,-1,0,2.539999999999992,15.240000000000007,11,-0.5,0.0,-0.39,1,1,0.7193627450980392,0.1744281045751634,2.0,0.0024509803921568627,553.0,250.0,600.0,650.0,900.0,130.0,550.0
-180.0,155,55.55555555555556,155.0,0.0026552287581699347,0.2555147058823529,0.12234477124183006,0,True,0.1156045751633987,0.8954248366013072,5,0,1,0,4.15,0.38,1.2,0.87,0.24,6,1,25,1,0,0,1,3,3,0,7,0.04738562091503268,172.72,175.26,145,0,9,0,6.42,0.56,0.3,1.77,0.34,9,0,28,2,0,1,5,3,0,0,9,0.7581699346405228,167.64,180.34,145,32,30,0,-8,-3,-2,1,-3,-1,0,3,5.079999999999984,-5.0800000000000125,-2,-2.27,0.8999999999999999,-0.9,1,1,0.26552287581699346,0.4117647058823529,5.0,0.5643382352941176,1500.0,140.0,500.0,1600.0,400.0,250.0,700.0
-1375.0,800,7.272727272727272,800.0,0.0026552287581699347,0.2555147058823529,0.12234477124183006,0,True,0.027777777777777776,0.10457516339869281,5,0,5,0,3.58,0.38,0.1,1.03,0.34,5,4,32,0,0,3,1,2,1,0,7,0.7520424836601307,165.1,170.18,125,0,7,0,3.21,0.52,0.3,2.62,0.64,7,2,42,7,0,1,4,3,2,0,10,0.20241013071895425,165.1,167.64,125,33,38,0,-2,-2,-3,2,-10,-7,-1,-1,0.0,2.539999999999992,5,0.3700000000000001,-0.1999999999999999,-1.59,1,1,0.26552287581699346,0.3053513071895425,4.0,0.0004084967320261438,1140.0,200.0,1800.0,350.0,2800.0,-110.0,2500.0
140.0,-160,140.0,62.5,0.0026552287581699347,0.2555147058823529,0.12234477124183006,1,False,0.12111928104575163,0.8954248366013072,3,4,0,0,3.73,0.46,0.0,0.66,0.64,5,14,91,5,0,3,4,12,0,0,19,0.20016339869281047,180.34,187.96,170,2,0,0,5.71,0.42,1.0,1.28,0.32,11,7,70,2,0,1,2,10,6,0,19,0.20241013071895425,185.42,193.04,170,38,39,2,0,-6,0,7,21,3,2,-6,-5.0800000000000125,-5.079999999999984,1,-1.98,-1.0,-0.62,1,1,0.7193627450980392,0.3053513071895425,3.0,0.001838235294117647,644.0,275.0,225.0,800.0,2500.0,650.0,185.0
-380.0,290,26.31578947368421,290.0,0.0026552287581699347,0.2555147058823529,0.12234477124183006,0,False,0.07863562091503268,0.8954248366013072,3,0,1,0,2.8,0.46,0.0,0.0,0.0,4,2,18,0,0,0,0,6,0,0,6,0.7520424836601307,187.96,198.12,242,1,0,0,3.44,0.51,0.0,6.27,0.53,5,3,32,0,0,0,4,5,0,0,9,0.7581699346405228,193.04,203.2,265,30,33,-1,1,-1,-3,-1,-14,0,1,0,-5.079999999999984,-5.079999999999984,3,-0.6400000000000001,0.0,-6.27,1,1,0.26552287581699346,0.4117647058823529,3.0,0.5643382352941176,900.0,180.0,1000.0,1000.0,3500.0,125.0,380.0
-220.0,180,45.45454545454545,180.0,0.0026552287581699347,0.2555147058823529,0.12234477124183006,0,False,0.027777777777777776,0.10457516339869281,3,1,0,1,4.24,0.41,1.1,1.77,0.44,3,2,25,0,0,0,3,0,3,0,6,0.7520424836601307,162.56,162.56,125,1,0,0,6.24,0.5,0.4,2.9,0.55,4,7,42,4,0,1,5,4,2,0,12,0.7581699346405228,154.94,157.48,125,30,34,0,0,-1,-6,-5,-17,-4,-4,1,7.620000000000003,5.0800000000000125,4,-2.0,0.7000000000000001,-1.13,1,1,0.26552287581699346,0.3053513071895425,1.0,0.001838235294117647,294.0,140.0,330.0,1000.0,900.0,225.0,1400.0
245.0,-310,245.0,32.25806451612903,0.0026552287581699347,0.2555147058823529,0.12234477124183006,1,False,0.10069444444444445,0.8954248366013072,3,0,6,0,4.26,0.41,0.3,7.3,0.45,6,2,24,0,0,0,6,0,0,0,6,0.7520424836601307,167.64,172.72,135,2,0,0,3.34,0.4,0.4,0.89,0.41,4,4,18,1,0,2,0,2,1,0,5,0.7581699346405228,167.64,170.18,135,33,30,-2,6,2,1,-2,6,-1,-2,-1,0.0,2.539999999999992,-3,0.92,-0.1,6.41,1,1,0.26552287581699346,0.3053513071895425,2.0,0.0026552287581699347,565.0,500.0,100.0,1200.0,550.0,600.0,400.0
-150.0,130,66.66666666666666,130.0,0.0026552287581699347,0.2555147058823529,0.12234477124183006,0,False,0.17463235294117646,0.8954248366013072,3,0,2,0,5.19,0.46,0.0,0.16,0.14,3,2,18,0,0,0,4,1,0,0,5,0.20016339869281047,177.8,182.88,155,2,0,0,4.95,0.48,0.2,0.91,0.36,4,6,38,0,0,1,1,6,2,0,10,0.03860294117647059,182.88,190.5,155,31,26,-2,2,-1,-5,-4,-20,0,-5,-2,-5.079999999999984,-7.620000000000003,-5,0.2400000000000002,-0.2,-0.75,1,1,0.26552287581699346,0.4117647058823529,3.0,0.5643382352941176,900.0,225.0,350.0,900.0,2200.0,225.0,350.0
180.0,-220,180.0,45.45454545454545,0.0026552287581699347,0.2555147058823529,0.12234477124183006,1,False,0.07863562091503268,0.8954248366013072,3,0,3,0,9.03,0.53,0.0,0.0,0.0,3,0,3,0,0,0,0,3,0,0,3,0.7520424836601307,190.5,193.04,250,1,0,0,2.53,0.43,0.2,1.14,0.24,3,3,19,0,0,1,2,2,0,0,5,0.7581699346405228,190.5,193.04,235,40,32,-1,3,0,-2,-3,-16,0,1,0,0.0,0.0,-8,6.5,-0.2,-1.14,1,1,0.26552287581699346,0.3053513071895425,2.0,0.0014297385620915032,383.0,400.0,350.0,1800.0,1400.0,450.0,100.0
300.0,-400,300.0,25.0,0.0026552287581699347,0.2555147058823529,0.12234477124183006,1,False,0.027777777777777776,0.10457516339869281,3,0,2,0,3.55,0.5,0.8,2.6,0.86,2,1,12,0,0,0,3,0,0,0,3,0.7520424836601307,167.64,172.72,125,1,0,0,2.97,0.3,0.1,1.3,0.21,1,8,35,1,0,1,2,1,0,0,4,0.7581699346405228,170.18,175.26,125,39,28,-1,2,1,-1,-7,-23,-1,-1,0,-2.539999999999992,-2.539999999999992,-11,0.5799999999999996,0.7000000000000001,1.3,1,1,0.26552287581699346,0.4117647058823529,3.0,0.5643382352941176,900.0,550.0,-165.0,1100.0,1100.0,2200.0,350.0
